index.png,state1.png,state5.png,state7.png,state9.png,state17.png,state26.png,state41.png,state45.png,state50.png,state57.png,state66.png,state77.png,state86.png,state89.png,state98.png,state101.png,state106.png,state115.png,state118.png,state123.png,state130.png,state139.png,state142.png,state147.png,state154.png,state163.png,state172.png,state175.png,state180.png,state187.png,state194.png,state206.png,state216.png,state219.png,state224.png,state231.png,state241.png,state251.png,state258.png,state267.png,state270.png,state275.png,state282.png,state305.png,state312.png,state321.png,state324.png,state329.png,state336.png,state345.png,state355.png,state362.png,state369.png,state376.png,state385.png,state388.png,state393.png,state400.png,state423.png,state430.png,state437.png,state452.png,state455.png,state460.png,state467.png,state488.png,state495.png,state502.png,state509.png,state518.png,state527.png,state532.png,state539.png,state548.png,state558.png,state565.png,state570.png,state577.png,state606.png,state613.png,state636.png,state643.png,state648.png,state655.png,state664.png,state681.png,state686.png,state707.png,state714.png,state721.png,state750.png,state759.png,state774.png,state779.png,state786.png,state815.png,state824.png,state827.png,state832.png,state841.png,state846.png,state851.png,state858.png,state867.png,state882.png,state891.png,state898.png,state913.png,state918.png,state945.png,state954.png,state957.png,state962.png,state967.png,state972.png,state981.png,state988.png,state1015.png,state1022.png,state1029.png,state1042.png,state1047.png,state1050.png,state1065.png,state1086.png,state1095.png,state1100.png,state1105.png,state1110.png,state1119.png,state1126.png,state1141.png,state1144.png,state1149.png,state1164.png,state1173.png,state1176.png,state1181.png,state1192.png,state1197.png,state1200.png,state1215.png,state1218.png,state1233.png,state1250.png,state1257.png,state1264.png,state1277.png
32.0,32.0,33.0,31.0,29.0,26.0,43.0,36.0,1.0,20.0,0.0,18.0,0.0,28.0,0.0,27.0,31.0,20.0,27.0,31.0,36.0,1.0,27.0,31.0,36.0,35.0,0.0,29.0,31.0,33.0,36.0,29.0,0.0,28.0,31.0,36.0,37.0,35.0,37.0,31.0,27.0,31.0,35.0,33.0,31.0,1.0,27.0,31.0,36.0,36.0,36.0,33.0,31.0,20.0,35.0,28.0,32.0,35.0,36.0,31.0,0.0,35.0,27.0,31.0,34.0,38.0,31.0,18.0,36.0,20.0,36.0,31.0,36.0,36.0,35.0,37.0,31.0,0.0,32.0,36.0,35.0,31.0,0.0,35.0,18.0,32.0,35.0,36.0,32.0,20.0,35.0,35.0,36.0,31.0,1.0,36.0,36.0,36.0,36.0,35.0,31.0,0.0,35.0,20.0,36.0,32.0,33.0,36.0,0.0,35.0,35.0,36.0,32.0,37.0,36.0,35.0,35.0,35.0,35.0,35.0,33.0,36.0,35.0,37.0,1.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,20.0,36.0,35.0,35.0,35.0,36.0,36.0,33.0,32.0,33.0,0.0,37.0,35.0,34.0,34.0,38.0,35.0
34.0,34.0,35.0,33.0,31.0,34.0,49.0,36.0,19.0,2.0,18.0,0.0,18.0,36.0,18.0,35.0,39.0,6.0,35.0,39.0,44.0,19.0,35.0,39.0,44.0,35.0,18.0,37.0,39.0,41.0,36.0,31.0,18.0,36.0,39.0,44.0,37.0,43.0,37.0,39.0,35.0,39.0,43.0,33.0,39.0,19.0,35.0,39.0,40.0,36.0,44.0,33.0,39.0,2.0,35.0,36.0,40.0,43.0,36.0,39.0,18.0,35.0,35.0,39.0,42.0,40.0,39.0,0.0,36.0,2.0,36.0,39.0,44.0,36.0,43.0,37.0,39.0,18.0,32.0,40.0,35.0,39.0,18.0,35.0,0.0,32.0,35.0,36.0,40.0,6.0,35.0,35.0,44.0,39.0,19.0,38.0,36.0,44.0,36.0,35.0,39.0,18.0,35.0,6.0,36.0,32.0,41.0,36.0,18.0,35.0,35.0,44.0,32.0,37.0,44.0,43.0,35.0,35.0,35.0,43.0,33.0,36.0,35.0,37.0,19.0,38.0,40.0,36.0,44.0,44.0,36.0,43.0,2.0,36.0,35.0,35.0,43.0,36.0,36.0,33.0,32.0,33.0,18.0,37.0,35.0,34.0,42.0,40.0,35.0
32.0,32.0,33.0,31.0,29.0,26.0,43.0,36.0,1.0,20.0,0.0,18.0,0.0,28.0,0.0,27.0,31.0,20.0,27.0,31.0,36.0,1.0,27.0,31.0,36.0,35.0,0.0,29.0,31.0,33.0,36.0,29.0,0.0,28.0,31.0,36.0,37.0,35.0,37.0,31.0,27.0,31.0,35.0,33.0,31.0,1.0,27.0,31.0,36.0,36.0,36.0,33.0,31.0,20.0,35.0,28.0,32.0,35.0,36.0,31.0,0.0,35.0,27.0,31.0,34.0,38.0,31.0,18.0,36.0,20.0,36.0,31.0,36.0,36.0,35.0,37.0,31.0,0.0,32.0,36.0,35.0,31.0,0.0,35.0,18.0,32.0,35.0,36.0,32.0,20.0,35.0,35.0,36.0,31.0,1.0,36.0,36.0,36.0,36.0,35.0,31.0,0.0,35.0,20.0,36.0,32.0,33.0,36.0,0.0,35.0,35.0,36.0,32.0,37.0,36.0,35.0,35.0,35.0,35.0,35.0,33.0,36.0,35.0,37.0,1.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,20.0,36.0,35.0,35.0,35.0,36.0,36.0,33.0,32.0,33.0,0.0,37.0,35.0,34.0,34.0,38.0,35.0
28.0,28.0,31.0,27.0,33.0,6.0,37.0,18.0,27.0,34.0,28.0,36.0,28.0,0.0,28.0,1.0,21.0,34.0,1.0,21.0,20.0,27.0,1.0,21.0,20.0,23.0,28.0,1.0,21.0,19.0,24.0,33.0,28.0,2.0,21.0,20.0,23.0,21.0,23.0,21.0,1.0,21.0,21.0,23.0,21.0,27.0,1.0,21.0,20.0,22.0,20.0,23.0,21.0,34.0,23.0,2.0,22.0,21.0,24.0,21.0,28.0,25.0,1.0,21.0,20.0,26.0,21.0,36.0,24.0,34.0,24.0,21.0,20.0,24.0,21.0,25.0,21.0,28.0,24.0,20.0,23.0,21.0,28.0,23.0,36.0,24.0,23.0,24.0,22.0,34.0,25.0,25.0,20.0,21.0,27.0,26.0,24.0,20.0,24.0,23.0,21.0,28.0,25.0,34.0,26.0,24.0,19.0,24.0,28.0,23.0,23.0,20.0,24.0,23.0,20.0,21.0,23.0,25.0,25.0,21.0,23.0,24.0,25.0,23.0,27.0,26.0,20.0,22.0,20.0,20.0,24.0,21.0,34.0,24.0,23.0,25.0,21.0,26.0,24.0,23.0,24.0,23.0,28.0,23.0,25.0,24.0,20.0,26.0,23.0
32.0,32.0,33.0,31.0,29.0,26.0,43.0,36.0,1.0,20.0,0.0,18.0,0.0,28.0,0.0,27.0,31.0,20.0,27.0,31.0,36.0,1.0,27.0,31.0,36.0,35.0,0.0,29.0,31.0,33.0,36.0,29.0,0.0,28.0,31.0,36.0,37.0,35.0,37.0,31.0,27.0,31.0,35.0,33.0,31.0,1.0,27.0,31.0,36.0,36.0,36.0,33.0,31.0,20.0,35.0,28.0,32.0,35.0,36.0,31.0,0.0,35.0,27.0,31.0,34.0,38.0,31.0,18.0,36.0,20.0,36.0,31.0,36.0,36.0,35.0,37.0,31.0,0.0,32.0,36.0,35.0,31.0,0.0,35.0,18.0,32.0,35.0,36.0,32.0,20.0,35.0,35.0,36.0,31.0,1.0,36.0,36.0,36.0,36.0,35.0,31.0,0.0,35.0,20.0,36.0,32.0,33.0,36.0,0.0,35.0,35.0,36.0,32.0,37.0,36.0,35.0,35.0,35.0,35.0,35.0,33.0,36.0,35.0,37.0,1.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,20.0,36.0,35.0,35.0,35.0,36.0,36.0,33.0,32.0,33.0,0.0,37.0,35.0,34.0,34.0,38.0,35.0
29.0,29.0,32.0,28.0,32.0,7.0,36.0,19.0,26.0,33.0,27.0,35.0,27.0,1.0,27.0,0.0,20.0,33.0,0.0,20.0,19.0,26.0,0.0,20.0,19.0,24.0,27.0,2.0,20.0,18.0,25.0,32.0,27.0,1.0,20.0,19.0,24.0,20.0,24.0,20.0,0.0,20.0,20.0,24.0,20.0,26.0,0.0,20.0,19.0,23.0,19.0,24.0,20.0,33.0,24.0,1.0,21.0,20.0,25.0,20.0,27.0,26.0,0.0,20.0,19.0,27.0,20.0,35.0,25.0,33.0,25.0,20.0,19.0,25.0,20.0,26.0,20.0,27.0,25.0,19.0,24.0,20.0,27.0,24.0,35.0,25.0,24.0,25.0,21.0,33.0,26.0,26.0,19.0,20.0,26.0,27.0,25.0,19.0,25.0,24.0,20.0,27.0,26.0,33.0,27.0,25.0,18.0,25.0,27.0,24.0,24.0,19.0,25.0,24.0,19.0,20.0,24.0,26.0,26.0,20.0,24.0,25.0,26.0,24.0,26.0,27.0,19.0,23.0,19.0,19.0,25.0,20.0,33.0,25.0,24.0,26.0,20.0,27.0,25.0,24.0,25.0,24.0,27.0,24.0,26.0,25.0,19.0,27.0,24.0
25.0,25.0,28.0,22.0,30.0,15.0,42.0,27.0,30.0,39.0,31.0,39.0,31.0,21.0,31.0,20.0,0.0,37.0,20.0,0.0,5.0,30.0,20.0,0.0,5.0,20.0,31.0,20.0,0.0,6.0,21.0,30.0,31.0,19.0,0.0,5.0,20.0,8.0,20.0,4.0,20.0,0.0,8.0,22.0,4.0,30.0,20.0,0.0,7.0,21.0,5.0,22.0,4.0,39.0,20.0,19.0,1.0,8.0,21.0,4.0,31.0,22.0,20.0,0.0,7.0,23.0,4.0,39.0,21.0,39.0,21.0,0.0,5.0,21.0,8.0,22.0,4.0,31.0,23.0,7.0,20.0,4.0,31.0,22.0,39.0,23.0,20.0,21.0,5.0,37.0,22.0,22.0,5.0,4.0,30.0,25.0,21.0,5.0,21.0,20.0,4.0,31.0,22.0,37.0,23.0,23.0,6.0,21.0,31.0,20.0,22.0,5.0,23.0,20.0,5.0,8.0,20.0,22.0,22.0,8.0,22.0,21.0,22.0,20.0,30.0,25.0,7.0,21.0,5.0,5.0,21.0,8.0,39.0,21.0,20.0,22.0,8.0,23.0,21.0,22.0,23.0,22.0,31.0,20.0,22.0,21.0,7.0,23.0,22.0
36.0,36.0,39.0,37.0,33.0,32.0,51.0,36.0,21.0,8.0,20.0,6.0,20.0,34.0,20.0,33.0,37.0,0.0,33.0,37.0,42.0,21.0,33.0,37.0,42.0,33.0,20.0,35.0,37.0,39.0,34.0,33.0,20.0,34.0,37.0,42.0,33.0,41.0,33.0,39.0,33.0,37.0,41.0,31.0,39.0,21.0,33.0,37.0,38.0,32.0,42.0,31.0,39.0,8.0,33.0,34.0,38.0,41.0,34.0,39.0,20.0,33.0,33.0,37.0,40.0,40.0,39.0,6.0,32.0,8.0,32.0,37.0,42.0,34.0,41.0,37.0,39.0,20.0,30.0,38.0,33.0,39.0,20.0,31.0,6.0,30.0,33.0,34.0,40.0,0.0,33.0,33.0,42.0,39.0,21.0,38.0,32.0,42.0,32.0,33.0,39.0,20.0,33.0,0.0,36.0,30.0,39.0,34.0,20.0,33.0,31.0,42.0,30.0,33.0,42.0,41.0,33.0,33.0,33.0,41.0,31.0,34.0,33.0,33.0,21.0,38.0,38.0,32.0,42.0,42.0,32.0,41.0,8.0,32.0,33.0,33.0,41.0,36.0,34.0,31.0,30.0,31.0,20.0,33.0,33.0,32.0,40.0,40.0,31.0
29.0,29.0,32.0,28.0,32.0,7.0,36.0,19.0,26.0,33.0,27.0,35.0,27.0,1.0,27.0,0.0,20.0,33.0,0.0,20.0,19.0,26.0,0.0,20.0,19.0,24.0,27.0,2.0,20.0,18.0,25.0,32.0,27.0,1.0,20.0,19.0,24.0,20.0,24.0,20.0,0.0,20.0,20.0,24.0,20.0,26.0,0.0,20.0,19.0,23.0,19.0,24.0,20.0,33.0,24.0,1.0,21.0,20.0,25.0,20.0,27.0,26.0,0.0,20.0,19.0,27.0,20.0,35.0,25.0,33.0,25.0,20.0,19.0,25.0,20.0,26.0,20.0,27.0,25.0,19.0,24.0,20.0,27.0,24.0,35.0,25.0,24.0,25.0,21.0,33.0,26.0,26.0,19.0,20.0,26.0,27.0,25.0,19.0,25.0,24.0,20.0,27.0,26.0,33.0,27.0,25.0,18.0,25.0,27.0,24.0,24.0,19.0,25.0,24.0,19.0,20.0,24.0,26.0,26.0,20.0,24.0,25.0,26.0,24.0,26.0,27.0,19.0,23.0,19.0,19.0,25.0,20.0,33.0,25.0,24.0,26.0,20.0,27.0,25.0,24.0,25.0,24.0,27.0,24.0,26.0,25.0,19.0,27.0,24.0
25.0,25.0,28.0,22.0,30.0,15.0,42.0,27.0,30.0,39.0,31.0,39.0,31.0,21.0,31.0,20.0,0.0,37.0,20.0,0.0,5.0,30.0,20.0,0.0,5.0,20.0,31.0,20.0,0.0,6.0,21.0,30.0,31.0,19.0,0.0,5.0,20.0,8.0,20.0,4.0,20.0,0.0,8.0,22.0,4.0,30.0,20.0,0.0,7.0,21.0,5.0,22.0,4.0,39.0,20.0,19.0,1.0,8.0,21.0,4.0,31.0,22.0,20.0,0.0,7.0,23.0,4.0,39.0,21.0,39.0,21.0,0.0,5.0,21.0,8.0,22.0,4.0,31.0,23.0,7.0,20.0,4.0,31.0,22.0,39.0,23.0,20.0,21.0,5.0,37.0,22.0,22.0,5.0,4.0,30.0,25.0,21.0,5.0,21.0,20.0,4.0,31.0,22.0,37.0,23.0,23.0,6.0,21.0,31.0,20.0,22.0,5.0,23.0,20.0,5.0,8.0,20.0,22.0,22.0,8.0,22.0,21.0,22.0,20.0,30.0,25.0,7.0,21.0,5.0,5.0,21.0,8.0,39.0,21.0,20.0,22.0,8.0,23.0,21.0,22.0,23.0,22.0,31.0,20.0,22.0,21.0,7.0,23.0,22.0
